year,affiliation,paper_count,region,country
2021,"Indian Institute of Technology, Kanpur",3,Asia-Pacific (excl. China),India
2021,"Indian Institute of Technology, Kharagpur",3,Asia-Pacific (excl. China),India
2021,"Indian Institute of Technology, Madras",5,Asia-Pacific (excl. China),India
2021,Indiana University,4,United States,United States
2021,Indiana University - Bloomington,5,United States,United States
2021,"Indraprastha Institute of Information Technology, Delhi",1,Asia-Pacific (excl. China),India
2021,Infosys Limited,2,Other/Unknown,Unknown
2021,Inria,59,Europe,France
2021,Insa toulouse,2,Other/Unknown,Unknown
2021,InstaDeep,1,Other/Unknown,Unknown
2021,Institute for Advanced Study,2,United States,United States
2021,Institute for World Politics,2,United States,United States
2021,Institute of Industrial Electronics Engineering,1,Asia-Pacific (excl. China),Pakistan
2021,Institute of Science and Technology,20,Europe,Austria
2021,Instituto Tecnológico y de Estudios Superiores de Occidente,1,Latin America,Mexico
2021,Intel,13,United States,United States
2021,International Higher School for Advanced Studies Trieste,1,Europe,Italy
2021,International University in Germany,3,Europe,Germany
2021,Iowa State University,4,United States,United States
2021,Irreverent Labs,1,Other/Unknown,Unknown
2021,Isomorphic Labs,1,Other/Unknown,Unknown
2021,Isomorphic labs,4,Other/Unknown,Unknown
2021,IÉSEG School of Management,2,Europe,France
2021,J.P. Morgan Chase,4,Other/Unknown,Unknown
2021,JD.com,6,China,China
2021,"JPMorganChase, GTAR",1,Other/Unknown,Unknown
2021,Jagiellonian University Cracow,4,Europe,Poland
2021,Jami Institute of Technology,41,Middle East & Africa,Iran
2021,Japan Advanced Institute of Science and Technology,1,Asia-Pacific (excl. China),Japan
2021,Japanese Red Cross College of Nursing,1,Asia-Pacific (excl. China),Japan
2021,Jeju National University,1,Other/Unknown,"Korea, Republic of"
2021,Johannes Kepler Universität Linz,4,Europe,Austria
2021,Johns Hopkins University,24,United States,United States
2021,Johns Hopkins University Applied Physics Laboratory,8,United States,United States
2021,KRAFTON,2,Other/Unknown,Unknown
2021,KTH Royal Institute of Technology,9,Europe,Sweden
2021,KU Leuven,6,Europe,Belgium
2021,Kanop,1,Other/Unknown,Unknown
2021,Kanzhun Limited (BOSS Zhipin),2,Other/Unknown,Unknown
2021,Karlsruhe Institute of Technology,3,Europe,Germany
2021,Keimyung University,1,Other/Unknown,"Korea, Republic of"
2021,Keio University,1,Asia-Pacific (excl. China),Japan
2021,Keller Graduate School of Management,2,United States,United States
2021,Kent State University,1,United States,United States
2021,"Khalifa University of Science, Technology and Research",2,Middle East & Africa,United Arab Emirates
2021,Kharkiv National University,4,Other/Unknown,Ukraine
2021,King Abdullah University of Science and Technology,17,Middle East & Africa,Saudi Arabia
2021,King's College,5,United States,United States
2021,"King's College London, University of London",1,Europe,United Kingdom
2021,Kobe University,1,Asia-Pacific (excl. China),Japan
2021,Korea Advanced Institute of Science & Technology,46,Other/Unknown,"Korea, Republic of"
2021,Korea University,8,Other/Unknown,"Korea, Republic of"
2021,Krafton Inc.,1,Other/Unknown,Unknown
2021,Kuaishou,1,Other/Unknown,Unknown
